uri:ID,label,:LABEL
Lem_KEMENTERIAN_HAK_ASASI_MANUSIA,KEMENTERIAN HAK ASASI MANUSIA,Lembaga
Lem_KEMENTERIAN_DESA_DAN_PEMBANGUNAN_DAERAH_TERTINGGAL,KEMENTERIAN DESA DAN PEMBANGUNAN DAERAH TERTINGGAL,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_HUKUM_HAK_ASASI_MANUSIA_IMIGRASI_DAN_PEMASYARAKATAN,"KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKATAN",Lembaga
Lem_KEMENTERIAN_PERDAGANGAN,KEMENTERIAN PERDAGANGAN,Lembaga
Lem_KEMENTERIAN_KEUANGAN,KEMENTERIAN KEUANGAN,Lembaga
Lem_ARSIP_NASIONAL,ARSIP NASIONAL,Lembaga
Lem_PERPUSTAKAAN_NASIONAL,PERPUSTAKAAN NASIONAL,Lembaga
Lem_BADAN_SIBER_DAN_SANDI_NEGARA,BADAN SIBER DAN SANDI NEGARA,Lembaga
Lem_KEMENTERIAN_PEMUDA_DAN_OLAHRAGA_REPUBLIK_INDONESIA,KEMENTERIAN PEMUDA DAN OLAHRAGA REPUBLIK INDONESIA,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_POLITIK_HUKUM_DAN_KEAMANAN,"KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN",Lembaga
Lem_KEMENTERIAN_PARIWISATA_DAN_EKONOMI_KREATIF,KEMENTERIAN PARIWISATA DAN EKONOMI KREATIF,Lembaga
Lem_KEMENTERIAN_TRANSMIGRASI,KEMENTERIAN TRANSMIGRASI,Lembaga
Lem_KEMENTERIAN_SEKRETARIAT_NEGARA,KEMENTERIAN SEKRETARIAT NEGARA,Lembaga
Lem_KEMENTERIAN_KESEHATAN,KEMENTERIAN KESEHATAN,Lembaga
Lem_BADAN_STANDARDISASI_NASIONAL,BADAN STANDARDISASI NASIONAL,Lembaga
Lem_BADAN_PUSAT_STATISTIK,BADAN PUSAT STATISTIK,Lembaga
Lem_BADAN_KEPEGAWAIAN_NEGARA,BADAN KEPEGAWAIAN NEGARA,Lembaga
Lem_BADAN_PANGAN_NASIONAL,BADAN PANGAN NASIONAL,Lembaga
Lem_KOTA_SEMARANG,KOTA SEMARANG,Lembaga
Lem_PROVINSI_LAMPUNG,PROVINSI LAMPUNG,Lembaga
Lem_PEMERINTAH_PUSAT,PEMERINTAH PUSAT,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_PEMBANGUNAN_MANUSIA_DAN_KEBUDAYAAN,KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN,Lembaga
Lem_KEMENTERIAN_KOPERASI_USAHA_KECIL_DAN_MENENGAH,"KEMENTERIAN KOPERASI, USAHA KECIL DAN MENENGAH",Lembaga
Lem_KEMENTERIAN_LUAR_NEGERI,KEMENTERIAN LUAR NEGERI,Lembaga
Lem_KOMISI_PEMILIHAN_UMUM,KOMISI PEMILIHAN UMUM,Lembaga
Lem_BADAN_NASIONAL_PENGELOLA_PERBATASAN,BADAN NASIONAL PENGELOLA PERBATASAN,Lembaga
Lem_KABUPATEN_PADANG_PARIAMAN,KABUPATEN PADANG PARIAMAN,Lembaga
Lem_PROVINSI_JAMBI,PROVINSI JAMBI,Lembaga
Lem_KABUPATEN_PAMEKASAN,KABUPATEN PAMEKASAN,Lembaga
Lem_BADAN_PENGAWAS_OBAT_DAN_MAKANAN,BADAN PENGAWAS OBAT DAN MAKANAN,Lembaga
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_KEMARITIMAN_DAN_INVESTASI,KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,Lembaga
Lem_KEMENTERIAN_SOSIAL,KEMENTERIAN SOSIAL,Lembaga
Lem_KEMENTERIAN_PENDIDIKAN_KEBUDAYAAN_REPUBLIK_INDONESIASET_DAN_TEKNOLOGI,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, REPUBLIK INDONESIASET, DAN TEKNOLOGI",Lembaga
Lem_KEMENTERIAN_DALAM_NEGERI,KEMENTERIAN DALAM NEGERI,Lembaga
Lem_KEMENTERIAN_PERINDUSTRIAN,KEMENTERIAN PERINDUSTRIAN,Lembaga
Lem_KEMENTERIAN_DESA_PEMBANGUNAN_DAERAH_TERTINGGAL_DAN_TRANSMIGRASI,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI",Lembaga
Lem_KEMENTERIAN_HUKUM_DAN_HAK_ASASI_MANUSIA,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,Lembaga
Lem_BADAN_PENGAWAS_TENAGA_NUKLIR,BADAN PENGAWAS TENAGA NUKLIR,Lembaga
Lem_KEJAKSAAN_AGUNG,KEJAKSAAN AGUNG,Lembaga
Lem_BADAN_NARKOTIKA_NASIONAL,BADAN NARKOTIKA NASIONAL,Lembaga
