uri:ID,label,:LABEL
Pej_NATALIUS_PIGAI,NATALIUS PIGAI,Pejabat
Pej_YANDRI_SUSANTO,YANDRI SUSANTO,Pejabat
Pej_YUSRIL_IHZA_MAHENDRA,YUSRIL IHZA MAHENDRA,Pejabat
Pej_BUDI_SANTOSO,BUDI SANTOSO,Pejabat
Pej_SRI_MULYANI_INDRAWATI,SRI MULYANI INDRAWATI,Pejabat
Pej_MEGO_PINANDITO,MEGO PINANDITO,Pejabat
Pej_E_AMINUDIN_AZIZ,E. AMINUDIN AZIZ,Pejabat
Pej_HINSA_SIBURIAN,HINSA SIBURIAN,Pejabat
Pej_ARIO_BIMO_NANDITO_ARIOTEDJO,ARIO BIMO NANDITO ARIOTEDJO,Pejabat
Pej_MOH_MAHFUD_MD,MOH. MAHFUD MD,Pejabat
Pej_SANDIAGA_SALAHUDDIN_UNO,SANDIAGA SALAHUDDIN UNO,Pejabat
Pej_M_IFTITAH_S_SURYANAGARA,M. IFTITAH S. SURYANAGARA,Pejabat
Pej_PRATIKNO,PRATIKNO,Pejabat
Pej_BUDI_G_SADIKIN,BUDI G. SADIKIN,Pejabat
Pej_IMAM_GUNARTO,IMAM GUNARTO,Pejabat
Pej_KUKUH_S_ACHMAD,KUKUH S. ACHMAD,Pejabat
Pej_AMALIA_ADINGGAR_WIDYASANTI,AMALIA ADINGGAR WIDYASANTI,Pejabat
Pej_HARYOMO_DWI_PUTRANTO,HARYOMO DWI PUTRANTO,Pejabat
Pej_ARIEF_PRASETYO_ADI,ARIEF PRASETYO ADI,Pejabat
Pej_HEVEARITA_GUNARYANTI_RAHAYU,HEVEARITA GUNARYANTI RAHAYU,Pejabat
Pej_ARINAL_DJUNAIDI,ARINAL DJUNAIDI,Pejabat
Pej_JOKO_WIDODO,JOKO WIDODO,Pejabat
Pej_MUHADJIR_EFFENDY,MUHADJIR EFFENDY,Pejabat
Pej_TETEN_MASDUKI,TETEN MASDUKI,Pejabat
Pej_RETNO_L_P_MARSUDI,RETNO L. P. MARSUDI,Pejabat
Pej_HASYIM_ASYARI,HASYIM ASYARI,Pejabat
Pej_MUHAMMAD_TITO_KARNAVIAN,MUHAMMAD TITO KARNAVIAN,Pejabat
Pej_SUHATRI_BUR,SUHATRI BUR,Pejabat
Pej_H_AL_HARIS,H. AL HARIS,Pejabat
Pej_BADDRUT_TAMAM,BADDRUT TAMAM,Pejabat
Pej_PENNY_K_LUKITO,PENNY K. LUKITO,Pejabat
Pej_YASONNA_H_LAOLY,YASONNA H. LAOLY,Pejabat
Pej_SUGENG_SUMBARJO,SUGENG SUMBARJO,Pejabat
Pej_IDZA_PRIYANTI,IDZA PRIYANTI,Pejabat
Pej_SALWA_ARIFIN,SALWA ARIFIN,Pejabat
Pej_MOHAMMAD_IDRIS,MOHAMMAD IDRIS,Pejabat
Pej_RIDWAN_KAMIL,RIDWAN KAMIL,Pejabat
Pej_MUSTARI_IRAWAN,MUSTARI IRAWAN,Pejabat
Pej_SALIM_SEGAF_AL_JUFRI,SALIM SEGAF AL JUFRI,Pejabat
Pej_AMIR_SYAMSUDIN,AMIR SYAMSUDIN,Pejabat
Pej_SOEHARTO,SOEHARTO,Pejabat
Pej_SOEKARNO,SOEKARNO,Pejabat
