uri:ID,jenis,nomor,status,tahun,tentang,title,:LABEL
ARS-0001,PERATURAN MENTERI,6,active,2025,Klasifikasi Arsip Kementerian Hak Asasi Manusia,Peraturan Menteri Hak Asasi Manusia Nomor 6 Tahun 2025,Peraturan
ARS-0002,PERATURAN MENTERI,2,active,2025,Klasifikasi Arsip di Lingkungan Kementerian Desa dan Pembangunan Daerah Tertinggal,Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 2 Tahun 2025,Peraturan
ARS-0003,PERATURAN MENTERI,1,active,2025,"KLASIFIKASI ARSIP KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKARTAN","Peraturan Menteri Koordinator Bidang Hukum, Hak Asasi Manusia, Imigrasi, dan Pemasyarakatan Nomor 1 Tahun 2025",Peraturan
ARS-0004,PERATURAN MENTERI,8,active,2025,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Desa dan Pembangunan Daerah Tertinggal,Peraturan Menteri Desa dan Pembangunan Daerah Tertinggal Nomor 8 Tahun 2025,Peraturan
ARS-0005,PERATURAN MENTERI,7,active,2025,Jadwal Retensi Arsip Di Lingkungan Kementerian Perdagangan,Peraturan Menteri Perdagangan Nomor 7 Tahun 2025,Peraturan
ARS-0006,PERATURAN MENTERI,57,active,2025,Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang bersifat Volatil yang Berlaku pada Arsip Nasional Republik Indonesia,Peraturan Menteri Keuangan Nomor 57 Tahun 2025,Peraturan
ARS-0007,PERATURAN BADAN/LEMBAGA,4,active,2025,Pedoman Pemanfaatan Arsip Statis,Peraturan Arsip Nasional Nomor 4 Tahun 2025,Peraturan
ARS-0008,PERATURAN BADAN/LEMBAGA,2,active,2025,Jadwal Retensi Arsip di Lingkungan Perpustakaan Nasional,Peraturan Perpustakaan Nasional Nomor 2 Tahun 2025,Peraturan
ARS-0009,PERATURAN BADAN/LEMBAGA,4,active,2025,Pencabutan Peraturan Kepala Lembaga Sandi Negara Nomor 9 Tahun 2017 tentang Jadwal Retensi Arsip Fasilitatif Lembaga Sandi Negara,Peraturan Badan Siber dan Sandi Negara Nomor 4 Tahun 2025,Peraturan
ARS-0010,PERATURAN BADAN/LEMBAGA,1,active,2025,Manajemen Risiko Pembangunan Nasional Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 1 Tahun 2025,Peraturan
ARS-0011,PERATURAN BADAN/LEMBAGA,5,active,2025,Tata Naskah Dinas di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 5 Tahun 2025,Peraturan
ARS-0012,PERATURAN BADAN/LEMBAGA,3,active,2025,Pencabutan Peraturan Kepala Lembaga Sandi Negara Nomor 4 Tahun 2017 tentang Jadwal Retensi Arsip Substantif Lembaga Sandi Negara,Peraturan Badan Siber dan Sandi Negara Nomor 3 Tahun 2025,Peraturan
ARS-0013,PERATURAN BADAN/LEMBAGA,2,active,2025,Pencabutan  Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 29 Tahun 2012 Tentang Petunjuk Pelaksanaan Pembuatan Analisis Jabatan di Lingkungan Arsip Nasional Republik Indonesia dan Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 30 Tahun 2012 Tentang Petunjuk Pelaksanaan Analisis Beban Kerja di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 2 Tahun 2025,Peraturan
ARS-0014,PERATURAN MENTERI,16,active,2024,JADWAL RETENSI ARSIP DI LINGKUNGAN KEMENTERIAN PEMUDA DAN OLAHRAGA,Peraturan Menteri Pemuda dan Olahraga Nomor 16 Tahun 2024,Peraturan
ARS-0015,PERATURAN MENTERI,1,active,2024,"PERUBAHAN ATAS PERATURAN MENTERI KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN NOMOR 3 TAHUN 2017 TENTANG KLASIFIKASI ARSIP DI KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN","Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 1 Tahun 2024",Peraturan
ARS-0016,PERATURAN MENTERI,3,active,2024,"PERUBAHAN ATAS PERATURAN MENTERI KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN NOMOR 4 TAHUN 2019 TENTANG PENYELENGGARAAN KEARSIPAN DI KEMENTERIAN KOORDINATOR BIDANG POLITIK, HUKUM, KEAMANAN","Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 3 Tahun 2024",Peraturan
ARS-0017,PERATURAN MENTERI,5,active,2024,Jadwal Retensi Arsip,Peraturan Menteri Pariwisata dan Ekonomi Kreatif Nomor 5 Tahun 2024,Peraturan
ARS-0018,PERATURAN MENTERI,4,active,2024,Klasifikasi Arsip  di Lingkungan Kementerian Transmigrasi,Peraturan Menteri Transmigrasi Nomor 4 Tahun 2024,Peraturan
ARS-0019,PERATURAN MENTERI,2,active,2024,JADWAL RETENSI ARSIP,"Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Nomor 2 Tahun 2024",Peraturan
ARS-0020,PERATURAN MENTERI,5,active,2024,ARSIP KEPRESIDENAN DI LINGKUNGAN KEMENTERIAN SEKRETARIAT NEGARA,Peraturan Menteri Sekretariat Negara Nomor 5 Tahun 2024,Peraturan
ARS-0021,PERATURAN MENTERI,4,active,2024,Pencabutan Peraturan Menteri Kesehatan Nomor 77 Tahun 2016 tentang Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Kesehatan dan Peraturan Menteri Kesehatan Nomor 21 Tahun 2018 tentang Pedoman Tata Kearsipan Dinamis di Lingkungan Kementerian Kesehatan,Peraturan Menteri Kesehatan Nomor 4 Tahun 2024,Peraturan
ARS-0022,PERATURAN BADAN/LEMBAGA,3,active,2024,Pedoman Penyelenggaraan Pelatihan Kearsipan,Peraturan Arsip Nasional Nomor 3 Tahun 2024,Peraturan
ARS-0023,PERATURAN BADAN/LEMBAGA,1,active,2024,"PENCABUTAN ATAS PERATURAN DI BADAN STANDARDISASI NASIONAL NOMOR 21 TAHUN 2019 TENTANGLINGKUNGAN BADAN STANDARDISASI NASIONAL, DAN PERATURANPELAKSANAAN SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMISSTANDARDISASI NASIONAL NOMOR 19 TAHUN 2019 TENTANG PETUNJUK LINGKUNGAN BADAN STANDARDISASI NASIONAL, PERATURAN BADAN NASIONAL PEDOMAN TENAGA PENGENDALI MUTU STANDAR NASIONAL INDONESIA",Peraturan Badan Standardisasi Nasional Nomor 1 Tahun 2024,Peraturan
ARS-0024,PERATURAN BADAN/LEMBAGA,2,active,2024,ORGANISASI DAN TATA KERJA ARSIP NASIONAL REPUBLIK INDONESIA,Peraturan Arsip Nasional Nomor 2 Tahun 2024,Peraturan
ARS-0025,PERATURAN BADAN/LEMBAGA,17,active,2024,Klasifikasi Arsip Perpustakaan Nasional,Peraturan Perpustakaan Nasional Nomor 17 Tahun 2024,Peraturan
ARS-0026,PERATURAN BADAN/LEMBAGA,1,active,2024,PENYELENGGARAAN KEARSIPAN,Peraturan Kepala Badan Pusat Statistik Nomor 1 Tahun 2024,Peraturan
ARS-0027,PERATURAN BADAN/LEMBAGA,6,active,2024,PERUBAHAN ATAS  PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 1 TAHUN 2022 TENTANG PEDOMAN PENGELOLAAN ARSIP DINAMIS,Peraturan Badan Kepegawaian Negara Nomor 6 Tahun 2024,Peraturan
ARS-0028,PERATURAN BADAN/LEMBAGA,3,active,2024,Sistem Klasifikasi Keamanan Dan Akses Arsip Dinamis  Di Lingkungan Badan Pangan Nasional,Peraturan Badan Pangan Nasional Nomor 3 Tahun 2024,Peraturan
ARS-0029,PERATURAN DAERAH,6,active,2024,PENYELENGGARAAN KEARSIPAN,Peraturan Daerah Kota Semarang Nomor 6 Tahun 2024,Peraturan
ARS-0030,PERATURAN DAERAH,2,active,2024,Penyelenggaraan Perpustakan dan Arsip Elektronik,Peraturan Daerah Provinsi Lampung Nomor 2 Tahun 2024,Peraturan
ARS-0031,PERATURAN PRESIDEN,23,active,2023,ARSIP NASIONAL REPUBL]K INDONESIA,Peraturan Presiden Nomor 23 Tahun 2023,Peraturan
ARS-0032,PERATURAN MENTERI,2,active,2023,KLASIFIKASI ARSIP DI LINGKUNGAN KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN,Peraturan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Nomor 2 Tahun 2023,Peraturan
ARS-0033,PERATURAN MENTERI,11,active,2023,JADWAL RETENSI ARSIP DI LINGKUNGAN KEMENTERIAN KOPERASI DAN USAHA KECIL DAN MENENGAH,"Peraturan Menteri Koperasi, Usaha Kecil dan Menengah  Nomor 11 Tahun 2023",Peraturan
ARS-0034,PERATURAN MENTERI,6,active,2023,PROGRAM ARSIP VITAL KEMENTERIAN LUAR NEGERI DAN PERWAKILAN REPUBLIK INDONESIA,Peraturan Menteri Luar Negeri Nomor 6 Tahun 2023,Peraturan
ARS-0035,PERATURAN MENTERI,4,active,2023,SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN,Peraturan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Nomor 4 Tahun 2023,Peraturan
ARS-0036,PERATURAN MENTERI,3,active,2023,JADWAL RETENSI ARSIP DI LINGKUNGAN KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN,Peraturan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Nomor 3 Tahun 2023,Peraturan
ARS-0037,PERATURAN BADAN/LEMBAGA,1,active,2023,PEDOMAN AUTENTIKASI ARSIP STATIS,Peraturan Arsip Nasional Nomor 1 Tahun 2023,Peraturan
ARS-0038,PERATURAN BADAN/LEMBAGA,17,active,2023,"JADWAL RETENSI ARSIP KOMISI PEMILIHAN UMUM, KOMISI PEMILIHAN UMUM PROVINSI, DAN KOMISI PEMILIHAN UMUM KABUPATEN/KOTA",Peraturan Komisi Pemilihan Umum Nomor 17 Tahun 2023,Peraturan
ARS-0039,PERATURAN BADAN/LEMBAGA,1,active,2023,PENYELENGGARAAN KEARSIPAN DI LINGKUNGAN SEKRETARIAT TETAP BADAN NASIONAL PENGELOLA PERBATASAN,Peraturan Badan Nasional Pengelola Perbatasan Nomor 1 Tahun 2023,Peraturan
