uri:ID,iso,label,:LABEL
Tgl_2025-07-08,2025-07-08,2025-07-08,Tanggal
Tgl_2025-03-25,2025-03-25,2025-03-25,Tanggal
Tgl_2025-02-11,2025-02-11,2025-02-11,Tanggal
Tgl_2025-07-31,2025-07-31,2025-07-31,Tanggal
Tgl_2025-03-10,2025-03-10,2025-03-10,Tanggal
Tgl_2025-08-01,2025-08-01,2025-08-01,Tanggal
Tgl_2025-03-21,2025-03-21,2025-03-21,Tanggal
Tgl_2025-05-28,2025-05-28,2025-05-28,Tanggal
Tgl_2025-02-12,2025-02-12,2025-02-12,Tanggal
Tgl_2025-03-07,2025-03-07,2025-03-07,Tanggal
Tgl_2024-11-14,2024-11-14,2024-11-14,Tanggal
Tgl_2024-01-12,2024-01-12,2024-01-12,Tanggal
Tgl_2024-05-06,2024-05-06,2024-05-06,Tanggal
Tgl_2024-12-20,2024-12-20,2024-12-20,Tanggal
Tgl_2024-10-14,2024-10-14,2024-10-14,Tanggal
Tgl_2024-04-02,2024-04-02,2024-04-02,Tanggal
Tgl_2024-05-28,2024-05-28,2024-05-28,Tanggal
Tgl_2024-01-16,2024-01-16,2024-01-16,Tanggal
Tgl_2024-02-12,2024-02-12,2024-02-12,Tanggal
Tgl_2024-12-31,2024-12-31,2024-12-31,Tanggal
Tgl_2024-02-20,2024-02-20,2024-02-20,Tanggal
Tgl_2024-06-04,2024-06-04,2024-06-04,Tanggal
Tgl_2024-08-16,2024-08-16,2024-08-16,Tanggal
Tgl_2024-01-10,2024-01-10,2024-01-10,Tanggal
Tgl_2023-04-17,2023-04-17,2023-04-17,Tanggal
Tgl_2023-05-04,2023-05-04,2023-05-04,Tanggal
Tgl_2023-09-14,2023-09-14,2023-09-14,Tanggal
Tgl_2023-06-27,2023-06-27,2023-06-27,Tanggal
Tgl_2023-05-05,2023-05-05,2023-05-05,Tanggal
Tgl_2023-05-09,2023-05-09,2023-05-09,Tanggal
Tgl_2023-08-31,2023-08-31,2023-08-31,Tanggal
Tgl_2023-04-18,2023-04-18,2023-04-18,Tanggal
Tgl_2023-03-24,2023-03-24,2023-03-24,Tanggal
Tgl_2023-07-04,2023-07-04,2023-07-04,Tanggal
Tgl_2023-02-15,2023-02-15,2023-02-15,Tanggal
Tgl_2023-03-03,2023-03-03,2023-03-03,Tanggal
Tgl_2022-03-14,2022-03-14,2022-03-14,Tanggal
Tgl_2022-06-16,2022-06-16,2022-06-16,Tanggal
Tgl_2022-01-17,2022-01-17,2022-01-17,Tanggal
Tgl_2022-04-28,2022-04-28,2022-04-28,Tanggal
Tgl_2022-09-08,2022-09-08,2022-09-08,Tanggal
Tgl_2022-09-23,2022-09-23,2022-09-23,Tanggal
Tgl_2022-12-09,2022-12-09,2022-12-09,Tanggal
Tgl_2022-12-30,2022-12-30,2022-12-30,Tanggal
Tgl_2022-02-15,2022-02-15,2022-02-15,Tanggal
Tgl_2022-12-20,2022-12-20,2022-12-20,Tanggal
Tgl_2022-10-31,2022-10-31,2022-10-31,Tanggal
Tgl_2022-01-13,2022-01-13,2022-01-13,Tanggal
Tgl_2022-08-10,2022-08-10,2022-08-10,Tanggal
Tgl_2022-12-12,2022-12-12,2022-12-12,Tanggal
Tgl_2022-11-23,2022-11-23,2022-11-23,Tanggal
Tgl_2022-11-01,2022-11-01,2022-11-01,Tanggal
Tgl_2022-06-23,2022-06-23,2022-06-23,Tanggal
Tgl_2022-10-05,2022-10-05,2022-10-05,Tanggal
Tgl_2022-12-27,2022-12-27,2022-12-27,Tanggal
Tgl_2022-01-26,2022-01-26,2022-01-26,Tanggal
Tgl_2022-01-20,2022-01-20,2022-01-20,Tanggal
Tgl_2022-11-14,2022-11-14,2022-11-14,Tanggal
Tgl_2022-03-04,2022-03-04,2022-03-04,Tanggal
Tgl_2022-12-13,2022-12-13,2022-12-13,Tanggal
Tgl_2022-12-29,2022-12-29,2022-12-29,Tanggal
Tgl_2022-08-22,2022-08-22,2022-08-22,Tanggal
Tgl_2022-11-21,2022-11-21,2022-11-21,Tanggal
Tgl_2021-10-25,2021-10-25,2021-10-25,Tanggal
Tgl_2021-08-10,2021-08-10,2021-08-10,Tanggal
