Configuration,Acc,M-F1,KA,JRA,SKK,PK,PA,PC
"Rule-based (vs manual, N=23)",0.957,0.782,0.889,1.0,0.8,1.0,1.0,0.0
TF-IDF + LinearSVC (vs manual),0.957,0.782,0.889,1.0,0.8,1.0,1.0,0.0
IndoBERT (no weights),0.548,0.384,0.0,0.444,0.333,0.636,0.889,0.0
IndoBERT (class-weighted),0.613,0.419,0.0,0.529,0.364,0.73,0.889,0.0
LLaMA-3.1-8B 0-shot,0.903,0.9,0.667,0.933,0.889,0.909,1.0,1.0
LLaMA-3.1-8B 3-shot ★,0.968,0.963,0.923,1.0,0.889,0.967,1.0,1.0
LLaMA-3.1-8B 5-shot,0.968,0.963,0.923,1.0,0.889,0.967,1.0,1.0
LLaMA-3.1-8B 10-shot,0.935,0.946,0.75,1.0,1.0,0.929,1.0,1.0
LLaMA-3.2-3B 0-shot,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LLaMA-3.2-3B 3-shot,0.952,0.91,0.8,0.966,0.909,0.985,0.8,1.0
LLaMA-3.2-3B 5-shot,0.968,0.949,0.8,1.0,0.909,0.985,1.0,1.0
LLaMA-3.2-3B 10-shot,0.839,0.538,0.0,0.889,0.909,0.932,0.0,0.5
